	BASO	CMP	EOS	ERY	GMP	GRAN	HSC	MEGA	MEP	MONO	PREB
208946_s_at	409.368581	303.869997	451.080314	1479.494966	483.544515	725.275513	584.738555	470.049344	392.650852	848.764082	348.544609
208947_s_at	28.593531	25.112006	21.373929	23.523706	25.11303	24.722591	23.258178	28.274669	24.079873	26.708792	26.166532
208948_s_at	664.072655	822.962596	647.674189	2457.961059	816.054464	1011.993738	1305.263034	1241.249556	1122.774093	1146.155615	590.43814
208949_s_at	115.999799	54.296552	160.217427	2743.589322	310.771527	269.867025	56.556251	168.257041	66.992632	894.835121	124.566316
208950_s_at	38.208665	41.993367	41.718979	47.698696	45.548114	37.964987	136.031662	36.446683	97.166216	31.26587	32.200926
208951_at	30.072664	39.040606	30.512379	34.447276	32.366995	29.705808	72.638373	32.348874	55.431752	31.627361	32.033779
208952_s_at	101.594136	54.403924	109.0695	131.599862	170.773427	297.873849	192.811863	121.894016	168.575347	296.253874	61.317041
208953_at	79.804165	32.215175	69.27937	56.458027	113.042895	188.479476	120.832615	96.413747	106.362006	152.911237	67.698932
208954_s_at	441.135855	281.635454	511.117185	443.138346	694.333025	999.114313	821.24201	449.393818	743.095994	1073.065766	263.028595
208955_at	78.567472	190.286201	67.919451	318.664277	243.400362	245.799562	564.729909	172.578855	572.617707	119.300165	137.172947
208956_x_at	577.091881	1261.760749	584.15292	1119.939549	1237.060564	888.129063	1401.185469	952.8243	1993.576864	779.623366	1293.961923
208957_at	69.792109	32.557115	36.555588	44.232016	53.487365	141.381011	147.106547	62.366396	89.183101	104.214453	53.636751
208958_at	48.178348	40.299402	56.195704	39.298795	62.639048	118.415888	95.214621	45.139834	67.328247	60.90727	36.435601
208959_s_at	586.136591	414.17538	587.402617	458.191909	610.55882	864.589696	509.316516	588.691146	444.508154	1114.913106	500.240388
208960_s_at	32.487093	26.937634	25.515391	28.334159	26.725372	35.447142	50.629468	33.650996	25.376226	38.936703	39.631202
208961_s_at	37.174873	34.700737	39.016218	27.672791	44.076404	88.803535	83.222923	39.6728	31.12587	78.121902	49.560561
208962_s_at	182.882536	298.517719	180.810701	523.876265	338.002052	117.096667	711.590836	475.313738	825.987185	481.897133	180.303386
208963_x_at	31.546776	32.091699	18.20387	41.728825	38.595416	26.609275	65.735568	67.610104	71.59669	48.16357	28.330362
208964_s_at	32.423344	52.431099	23.444621	67.275511	72.212569	25.855358	109.917621	91.897781	118.952967	68.561696	36.452864
208965_s_at	1000.150679	556.011605	985.177707	412.458443	815.92762	1423.932542	1555.975588	943.084059	937.992127	1631.110621	1143.077795
208966_x_at	1055.61115	547.979338	1068.951119	486.820386	881.530258	1527.35187	1901.805938	1080.525811	1069.707747	1784.894291	1271.490285
208967_s_at	129.895875	83.766645	83.176037	118.886749	78.995704	123.097825	203.837574	138.583189	146.978853	157.51861	112.601571
208968_s_at	56.767362	40.687234	43.155188	60.455673	71.708765	101.784674	118.976432	65.653983	93.163896	87.067203	53.338998
208969_at	147.041335	136.357007	156.837253	135.126716	175.202274	343.911549	270.695418	138.072268	212.088718	248.290863	119.277385
208970_s_at	124.268375	82.839965	61.194236	1603.066091	151.111607	216.961206	479.919511	332.564518	397.864211	193.636847	155.331066
208971_at	51.948235	28.221004	35.359436	649.907932	91.946807	114.114571	179.266027	87.708601	135.860173	72.795703	49.303364
208972_s_at	49.143357	52.340178	50.820184	86.174535	70.111509	99.98587	123.557872	64.007167	115.262351	85.095751	37.488789
208973_at	24.058492	18.348895	23.010175	26.569006	24.485865	25.644278	31.416623	25.159183	27.306534	26.376501	23.127645
208974_x_at	569.027301	502.943696	725.603299	925.610939	767.514193	893.95937	1049.856473	762.791646	1155.048534	876.310916	626.531816
208975_s_at	1361.947051	2220.187989	1251.629864	1986.491946	1877.687082	1670.568355	2003.589818	1823.138644	2464.983602	1682.922768	2244.921315
208977_x_at	79.492937	120.073616	85.779366	603.335594	123.853501	201.116783	177.461774	145.351816	168.375932	123.1219	93.78649
208978_at	22.457838	25.166871	18.587945	20.345661	24.684835	20.879352	20.936984	23.50645	20.022499	18.671582	28.973395
