	BASO	CMP	EOS	ERY	GMP	GRAN	HSC	MEGA	MEP	MONO	PREB
211754_s_at	158.732584	106.027144	194.611122	173.189875	221.095094	298.050791	260.126019	191.724264	321.593632	187.748632	98.039158
211755_s_at	524.257258	741.300116	621.555713	574.822973	841.19564	871.951333	800.630187	633.777548	966.364045	1025.823046	382.847581
211756_at	44.092308	42.368373	37.218497	35.803502	34.55564	32.041422	33.449668	40.609695	38.629147	36.562741	40.640395
211758_x_at	621.952424	853.768822	728.52025	788.977786	1018.088508	1016.060334	876.685373	682.72377	1066.861859	906.625765	383.499218
211759_x_at	32.258173	29.390954	35.908746	40.292764	41.646025	83.774089	52.420131	30.96488	41.204522	51.967981	34.235575
211760_s_at	39.846416	32.120236	39.513041	39.009435	38.81876	50.428117	37.71147	44.343279	34.331425	48.201707	49.182172
211761_s_at	155.171901	246.160628	131.955713	256.487844	262.344382	246.236154	323.906147	284.761503	370.117373	205.866019	100.54878
211762_s_at	106.926342	118.783982	135.701195	226.870578	292.586794	297.774313	206.243817	162.493127	216.110869	215.470389	108.195494
211763_s_at	81.76026	19.199444	56.666821	629.883108	74.633558	172.138292	155.712423	110.432567	79.11215	147.236908	59.255586
211764_s_at	386.330474	303.460438	323.738072	115.818861	505.947459	662.993544	257.336057	427.753584	278.147728	742.278568	318.487282
211765_x_at	2429.947282	4083.83404	2227.897222	2438.573337	3386.850671	3370.985292	3421.24979	2709.64521	4727.3187	2943.533905	2383.292962
211766_s_at	38.179796	37.086284	42.722918	35.026455	35.733539	33.810551	34.300513	38.987768	34.125354	34.743972	32.986448
211767_at	46.883792	57.358177	51.184094	49.061753	38.881089	31.33487	37.226639	53.166139	62.87991	45.067834	70.706372
211768_at	40.938597	30.871164	37.539234	31.474495	50.008908	42.098878	40.784531	40.680142	32.793979	38.991836	39.23628
211769_x_at	85.339538	48.043086	72.550483	476.602141	156.314349	195.978397	214.470457	174.313773	138.33591	199.356132	72.899838
211771_s_at	26.569667	14.489846	17.583623	16.585038	23.360229	34.9431	20.911185	24.090356	16.179926	28.306255	29.066044
211772_x_at	35.789834	32.41294	34.792351	32.89474	32.20332	32.184292	32.579358	31.118132	32.34414	33.002478	39.076006
211773_s_at	45.30533	37.949754	38.613098	38.014606	45.354866	44.725931	40.464745	47.108299	44.396678	39.177626	43.754783
