	Lin-_1	Lin-_2	MNC_1	MNC_2
209228_x_at	79.8835948421	84.5468098179	104.1144509261	104.3765797775
209229_s_at	362.6658335329	400.0128990433	355.663578338	367.9794001934
209230_s_at	91.3585833186	96.772121822	129.9045202522	98.5653358371
209231_s_at	205.5124996316	186.5020994318	154.2600654377	162.745406368
209232_s_at	932.9730846755	880.8249062456	623.3881454529	641.0514140462
209233_at	839.9234361678	829.3814881524	474.4827513422	489.100971529
209234_at	245.0666251245	258.3040073136	786.1361530442	731.2069113478
209235_at	190.9052229915	195.9642890604	156.4611460843	153.0839767129
209236_at	156.4734856493	195.4117107236	191.9200868321	210.5728354548
209237_s_at	91.9076705016	97.8099340048	91.9198706002	90.34825765
209238_at	276.0731584031	283.940762505	2024.6993925826	1878.1110218812
209239_at	580.6375298732	585.5242873239	886.7255798585	909.2947418202
209240_at	6703.4308153599	6265.2234914679	6804.8202105821	5966.4043656373
209241_x_at	209.7782912575	232.8970754919	281.5038261824	283.5332478606
209242_at	160.6450106555	187.4744040152	64.7490649326	70.7018941541
209243_s_at	38.4856102557	26.6806188193	16.921776894	26.4102378122
209244_s_at	67.0460206992	80.8413251804	129.9771495024	149.5869382326
209245_s_at	21.5715873247	23.1316807399	37.7699030279	36.8904566493
209246_at	155.9543273354	147.1791164156	92.1851606251	99.7990161745
209247_s_at	299.8510175692	312.7968148919	184.3347152572	204.3681913644
209248_at	4330.1215078504	3936.731259279	5240.6858042679	4369.654266552
209249_s_at	2117.7003459449	1979.9993167791	2719.3266839113	2260.8781909334
209250_at	387.9203425941	398.4864239205	812.8770289832	728.9281789559
209251_x_at	7551.7727050183	7432.3084285092	4873.2970377914	4231.1534716236
209252_at	856.8348984708	797.353512226	1062.6049442722	974.3685922106
209253_at	128.8010643058	122.4781290868	89.1499026647	91.6728528105
209254_at	100.656681067	90.6900641813	81.3146909942	91.953480079
209255_at	766.6916267738	777.7589228233	706.2525340927	700.0978896325
209256_s_at	1096.3198901028	1071.3785209059	929.0873612507	810.4136140727
209257_s_at	682.8997207696	639.5599727806	400.1103598369	375.7754889264
209258_s_at	1450.3253437369	1320.9327559521	825.5307232358	798.1590753382
209259_s_at	440.4523154522	457.5257865812	311.6406537345	299.7869388396
209260_at	42.1111980165	44.46891335	71.3404836933	75.4530341596
209261_s_at	64.3605708302	68.7483224737	71.7821214988	64.1709402194
209262_s_at	400.078979188	417.3409147934	125.1991051893	162.6884189976
209263_x_at	178.391394065	178.3632223476	93.2050137902	89.4556858727
209264_s_at	136.3697621859	155.117847509	74.4107347808	86.6491264581
209265_s_at	2287.6602792347	2021.3007675921	1455.4089336091	1366.069023741
209266_s_at	25.155484176	27.0050277928	28.7636618785	22.6486691172
209267_s_at	2172.7175079171	1896.1911584148	397.5274428507	403.5981764406
209268_at	758.3542578261	723.236489438	700.0920048139	664.2573670564
209269_s_at	390.2229693076	379.1401653433	585.6720711663	579.5915519253
209270_at	41.3593738365	39.485113322	36.4349247542	35.4761584234
209271_at	1930.909041544	1700.9706593234	1549.1458080701	1376.9931643668
209272_at	1814.1595851842	1654.936748915	1440.5693670094	1285.9718565517
209273_s_at	511.6176349348	430.7963094328	522.5116175583	515.7966480058
209274_s_at	387.1898050533	379.4579805161	487.3344008312	448.9158673501
209275_s_at	445.8506990661	427.0335639519	538.6966198227	533.0882427829
209276_s_at	1998.6878148224	1785.4995431854	5317.0296538267	4827.2439312305
209277_at	13.6584008482	21.2220585266	14.5506393628	16.0707438691
209278_s_at	27.3812978175	20.3319408667	18.4970925544	22.0604097544
209279_s_at	335.4814949034	321.6340784217	157.0413118193	192.3547005009
209280_at	123.2575944968	117.0702479123	149.0257979739	126.7207282053
209281_s_at	107.370164783	114.8878849406	185.7747342291	206.7105669096
209282_at	538.5357252676	557.3483025625	1031.9128836374	1011.6222669301
